HEIGHT_TITLE;Максимальная высота текстуры
FIXED_SIZE;Фиксированный размер:
FIXED_SIZE_TITLE;Фиксированный размер текстуры
POWER_OF_TWO;Степень двойки:
POWER_OF_TWO_TITLE;Размер текстуры в степени двойки
PADDING;Отступы:
PADDING_TITLE;Отступы между спрайтами в текстуре
EXTRUDE;Выдавливание:
EXTRUDE_TITLE;Выдавливание пикселей на границах спрайтов
ALLOW_ROTATION;Разрешить поворот:
ALLOW_ROTATION_TITLE;Разрешает поворот спрайта в текстуре
ALLOW_TRIM;Разрешить обрезку:
ALLOW_TRIM_TITLE;Разрешает обрезку незначимых пикселей спрайта в текстуре
ALPHA_THRESHOLD;Порог альфа-канала:
ALPHA_THRESHOLD_TITLE;Порог альфа-канала для обрезки
TRIM_MODE;Метод обрезки:
TRIM_MODE_TITLE;Варианты меода обрезки
DETECT_IDENTICAL;Определять идентичные:
DETECT_IDENTICAL_TITLE;Разрешает определять идентичные спрайты и не дублировать их в текстуре
PACKER;Упаковщик:
PACKER_TITLE;Упаковщик
PACKER_METHOD;Метод:
PACKER_METHOD_TITLE;Метод упаковщика
EXPORT;Экспорт
PLEASE_WAIT;Пожалуйста, подождите...
INVALID_SIZE_ERROR;Неверный размер. Минимально возможный: %sx%s
NO_IMAGES_ERROR;Добавьте сначала изображения
CLEAR_WARNING;Действительно удалить все изображения?
INVALID_ZIP_ERROR;Неверный zip файл
NO_TINIFY_KEY_ERROR;Пожалуйста, укажите Ваш ключ TinyPNG https://tinypng.com/developers
TINIFY_ERROR;Ошибка при оптимизации: %s
TINIFY_ERROR_COMMON;Ошибка при оптимизации...
OLD_BROWSER_MESSAGE1;Извините, но Ваш браузер устарел...
OLD_BROWSER_MESSAGE2;Пожалуйста, установите и используйте один из современных браузеров:
ABOUT_HOMEPAGE;Домашняя страница:
ABOUT_SOURCES;Исходники:
ABOUT_BUGS;Сообщить об ошибке:
ABOUT_APPS;Скачать приложение:
ABOUT_WEB;Web-версия:
ABOUT_LIBS;Используемые библиотеки:
ABOUT_GULP_VERSION;Модуль для gulp:
ABOUT_WEBPACK_VERSION;Плагин для webpack:
ABOUT_CONTRIBUTORS;Авторы:
EXPORTER_ERROR;Ошибка при экспортировании: %s
CUSTOM_EXPORTER_ERROR;Ошибка в шаблоне: %s
FILE_EXT;Расширение файла:
DOCUMENTATION;документация
SAVE_CHANGES_CONFIRM;Сохранить изменения в проекте?
MENU_FILE;Файл
MENU_FILE_PROJECT_NEW;Новый проект
MENU_FILE_PROJECT_LOAD;Открыть проект
MENU_FILE_PROJECT_LOAD_RECENT;Открыть последний
MENU_FILE_PROJECT_SAVE;Сохранить проект
MENU_FILE_PROJECT_SAVE_AS;Сохранить проект как...
MENU_FILE_PREFERENCES_SAVE;Сохранить настройки
MENU_FILE_INSTALL_CLI;Установить CLI
MENU_FILE_EXIT;Выход
MENU_ACTIONS;Действия
MENU_ACTIONS_ADD_IMAGES;Добавить изображения
MENU_ACTIONS_ADD_FOLDER;Добавить папку
MENU_ACTIONS_SELECT_ALL;Выделить все
MENU_ACTIONS_DELETE;Удалить
MENU_ACTIONS_CLEAR;Очистить
MENU_ACTIONS_EXPORT;Экспорт
MENU_TOOLS;Инструменты
MENU_TOOLS_SPLITTER;Распаковка атласа
MENU_LANGUAGE;Язык
MENU_HELP;Помощь
MENU_HELP_ABOUT;О программе
UPDATER_TITLE;Доступна новая версия: %s
CLOSE;Закрыть
INSTALL;Установить
SKIP_VERSION;Пропустить
SKIP_VERSION_CONFIRM;Действительно пропустить эту версию и не напоминать о ней больше?
CONTEXT_MENU_UNDO;Отменить
CONTEXT_MENU_REDO;Повторить
CONTEXT_MENU_CUT;Вырезать
CONTEXT_MENU_COPY;Копировать
CONTEXT_MENU_PASTE;Вставить
CONTEXT_MENU_DELETE;Удалить
CONTEXT_MENU_SELECT_ALL;Выделить все
SPLIT;Распаковать
SELECT_TEXTURE;Текстура
SELECT_DATA_FILE;Данные
SPLITTER;Распаковка атласа
SPLITTER_ERROR_NO_FRAMES;Не найдено ни одного спрайта. Возможно, формат атласа неверен.
HOLD_TRIM;Обрезать:
